Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Antofagasta,2,Antofagasta,2101,7,6,7,6,5,7,7,7,7,7,6,5,7,7,7,7,7,6,5,6,6,6,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,4,4
Antofagasta,2,Calama,2201,5,5,5,5,4,6,6,6,6,6,5,4,6,6,6,6,6,5,4,5,5,5,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Antofagasta,2,María Elena,2302,3,3,3,2,2,3,3,3,3,3,2,2,3,3,4,4,3,2,2,3,3,3,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,1,1,2,2,2,2,1,1,1
Antofagasta,2,Mejillones,2102,6,7,7,6,5,6,6,6,6,6,5,5,6,6,6,6,7,5,4,6,6,6,5,5,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,2,2,2
Antofagasta,2,Ollagüe,2202,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,2203,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,Sierra Gorda,2103,5,5,4,3,3,5,5,5,4,4,3,3,5,5,5,4,4,3,3,5,4,4,4,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,4,3,4,2,2,2
Antofagasta,2,Taltal,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,Tocopilla,2301,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Arica y Parinacota,15,Arica,15101,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,5,5,6,5,5,4,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
